Rank;DokumentType;Titel;Ressort;AdministrerendeMyndighed;JournalNummer;Nummer;År;DokumentId;ACCN;Publiceringsmedie;UndtagetFraOffentliggørelse;GeografiskDækning;UnderskriftDato;PubliceretTidspunkt;SidstPubliceretTidspunkt;BekendtgørelsesDato;HistoriskDato;Historisk;RedaktionelNote;OmtryksNote;AlternativeMedierNote;AnfoerINote;HjemmelVedroerer;SenereAendringer;ÆndrerI;Tiltræder;EliUrl
A;Lovforslag som vedtaget;Forslag til Lov om ændring af lov om arbejdsløshedsforsikring m.v. og lov om sygedagpenge (Suspension af dagpengeforbrug og forlængelse af retten til sygedagpenge som følge af covid-19);Folketinget;;Beskæftigelsesmin.,\nStyrelsen for Arbejdsmarked og Rekruttering, j.nr. 20/21380;135 A;2020;AX025632;202013LA0135;Retsinformation;;Fremgår af forskriften;20210119;20210120;20210120;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013LA0135
A;Lovforslag som vedtaget;Forslag til Lov om ændring af lov om aktiv socialpolitik (Yderligere forlængelse af 12-månedersperioden i 225-time rsreglen som følge af covid-19);Folketinget;;Beskæftigelsesmin.,\nStyrelsen for Arbejdsmarked og Rekruttering, j.nr. 20/21380;135 C;2020;AX025634;202013LC0135;Retsinformation;;Fremgår af forskriften;20210119;20210120;20210120;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013LC0135
A;Lovforslag som vedtaget;Forslag til Lov om ændring af lov om arbejdsløshedsforsikring m.v. (Suspension af G-dage ved hjemsendelser og arbejdsfordeling som følge af covid-19);Folketinget;;Beskæftigelsesmin.,\nStyrelsen for Arbejdsmarked og Rekruttering, j.nr. 20/21380;135 B;2020;AX025633;202013LB0135;Retsinformation;;Fremgår af forskriften;20210119;20210120;20210120;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013LB0135
A;Betænkning over beslutningsforslag;Tillægsbetænkning over Forslag til folketingsbeslutning om rigsretstiltale mod forhenværende minister Inger Støjberg;Folketinget;;;134;2020;AX025720;20201DB00644;Retsinformation;;Fremgår af forskriften;20210129;20210202;20210202;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201DB00644
A;Tillægsbetænkning over lovforslag;Tillægsbetænkning over Forslag til lov om epidemier m.v. (epidemiloven);Folketinget;;;134;2020;AX025846;202015L00749;Retsinformation;;Fremgår af forskriften;20210223;20210224;20210224;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202015L00749
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om epidemier m.v. (epidemiloven);Folketinget;;;134;2020;AX025779;202014L00690;Retsinformation;;Fremgår af forskriften;20210209;20210210;20210210;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00690
A;Lovforslag som fremsat;Forslag til Lov om epidemier m.v. (epidemiloven);Sundheds- og Ældreministeriet;;Sundheds- og Ældremin., j.nr. 2007933;134;2020;CN001561;202012L00134;Retsinformation;;Fremgår af forskriften;20201222;20201223;20201223;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00134
A;Lovforslag som vedtaget;Forslag til Lov om epidemier m.v. (epidemiloven);Folketinget;;Sundheds- og Ældremin., j.nr. 2007933;134;2020;AX025851;202013L00134;Retsinformation;;Fremgår af forskriften;20210223;20210224;20210224;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00134
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (15. december 2020) - L 125;Udlændinge- og Integrationsministeriet;;Udlændinge- og Integrationsmin., j.nr. 2020-21877;L 125;2020;CS000925;20201XX00432;Retsinformation;;Fremgår af forskriften;20201215;20201216;20201216;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00432
A;Lovforslag som fremsat;Forslag til lov om ændring af udlændingeloven (Mulighed for at pålægge en udlænding, der skal udrejse af landet, at lade sig undersøge for en sygdom omfattet af lov om foranstaltninger mod smitsomme og andre overførbare sygdomme);Udlændinge- og Integrationsministeriet;;Udlændinge- og Integrationsmin., j.nr. 2020-21877;125;2020;CS000924;202012L00125;Retsinformation;;Fremgår af forskriften;20201215;20201216;20201216;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00125
